fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6666666666666666,0.6545454545454545,0.6419753086419753,0.6030226891555273,65.66575860977173,9,"[5, 8, 12, 19, 28, 38, 46, 48, 53]"
2,0.5714285714285714,0.6071428571428571,0.5812356979405034,0.5976143046671968,72.15608978271484,9,"[8, 9, 12, 19, 28, 43, 45, 46, 53]"
3,0.6666666666666666,0.6944444444444444,0.6590389016018305,0.6666666666666666,88.6395628452301,9,"[5, 8, 12, 18, 28, 38, 46, 48, 53]"
4,0.6190476190476191,0.6682692307692308,0.6138528138528139,0.6354889093022426,0.22862005233764648,9,"[1, 5, 8, 12, 18, 20, 46, 48, 49]"
5,0.5238095238095238,0.5409090909090909,0.4557823129251701,0.40451991747794525,0.2740004062652588,9,"[12, 18, 19, 22, 38, 43, 45, 47, 48]"
6,0.42857142857142855,0.42272727272727273,0.4206349206349206,0.4045199174779452,122.42804455757141,9,"[8, 9, 12, 13, 28, 38, 46, 49, 53]"
7,0.6190476190476191,0.5961538461538461,0.6190476190476191,0.5883484054145521,139.33970880508423,9,"[2, 5, 9, 12, 19, 38, 39, 43, 48]"
8,0.5238095238095238,0.5363636363636364,0.48946886446886445,0.46709936649691375,71.60128998756409,9,"[5, 12, 19, 28, 38, 43, 48, 49, 53]"
9,0.65,0.6458333333333333,0.6526854219948849,0.6454972243679028,99.34467005729675,9,"[2, 5, 12, 19, 30, 38, 39, 43, 48]"
10,0.6,0.625,0.6,0.6123724356957945,133.99449062347412,9,"[1, 2, 5, 9, 12, 13, 39, 47, 51]"
